Id;Amount;Vol_total;Btw_pour;Pour_time;Time;Dev_id;Brand_id;CustomerId;LocationId;CreationDate;CL;ConvertedAmount;ConvertedCL;SelectedCL;TimeUTC;Flow_0;FlowRate;Mode;TapId;StopCondition;Temp_after;Temp_before
3306233;2;2853;89;14000;2019-04-17 20:55:12.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:55;50;2;50;50;2019-04-17 17:55:12.000;1,684211;3,525063;1;302;0;0,600000024;4
3306392;2;2852;582;13875;2019-04-17 21:05:09.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:05;50;2;50;50;2019-04-17 18:05:09.000;2,210526;3,555556;1;302;0;1,299999952;9,800000191
3306405;1;1714;39;9025;2019-04-17 21:05:58.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:05;30;1;30;30;2019-04-17 18:05:58.000;1,859649;3,254119;1;302;0;0,899999976;5,400000095
3306439;2;2853;117;13925;2019-04-17 21:08:11.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:08;50;2;50;50;2019-04-17 18:08:11.000;1,929825;3,544049;1;302;0;0,600000024;4,900000095
3306512;2;2851;184;14000;2019-04-17 21:11:30.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:11;50;2;50;50;2019-04-17 18:11:30.000;2;3,522556;1;302;0;0,600000024;5,300000191
3306731;2;2855;748;13825;2019-04-17 21:24:13.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:24;50;2;50;50;2019-04-17 18:24:13.000;2,190843;3,572222;1;302;0;1,299999952;11,10000038
3306750;2;2851;57;13875;2019-04-17 21:25:25.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:25;50;2;50;50;2019-04-17 18:25:25.000;1,947368;3,554291;1;302;0;0,600000024;6
3307020;2;2853;944;13825;2019-04-17 21:41:23.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:42;50;2;50;50;2019-04-17 18:41:23.000;2,276423;3,569684;1;302;0;1,100000024;12,89999962
3307022;2;2850;2;13975;2019-04-17 21:41:40.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:42;50;2;50;50;2019-04-17 18:41:40.000;1,78006;3,527602;1;302;0;0,800000012;1,899999976
3307055;2;2854;129;13900;2019-04-17 21:44:04.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:44;50;2;50;50;2019-04-17 18:44:04.000;2,070175;3,551685;1;302;0;0,699999988;5,699999809
3307056;2;2852;1;13950;2019-04-17 21:44:21.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:44;50;2;50;50;2019-04-17 18:44:21.000;1,728712;3,53644;1;302;0;0,5;0,899999976
3307180;2;2855;483;13925;2019-04-17 21:52:38.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:52;50;2;50;50;2019-04-17 18:52:38.000;2,210526;3,546568;1;302;0;0,800000012;9,600000381
